Cloudiness,Weather_type,latitude,longitude,City_id,Visibility,CountryID,Country,Sunrise_Time,Sunset_Time,Temperature,humidity,pressure,Min_temp,Max_temp,Wind_Speeed,Data_cal_Time,cod
75,Clouds,41.21,-73.89,420027993,16093,2142,US,24-03-2018 16:21,25-03-2018 04:42,275.78,55,1018,275.15,277.15,5.7,24-03-2018 11:45,200
75,Clouds,41.05,-73.85,420029695,16093,2142,US,24-03-2018 16:21,25-03-2018 04:42,275.86,55,1018,275.15,277.15,5.7,24-03-2018 12:05,200
1,Clear,40.91,-73.84,420029714,16093,1972,US,24-03-2018 16:21,25-03-2018 04:42,276.01,55,1020,275.15,277.15,3.6,24-03-2018 12:05,200
1,Clear,38.9,-77.04,420007937,16093,1325,US,24-03-2018 16:34,25-03-2018 04:54,275.34,51,1023,273.15,277.15,2.1,24-03-2018 11:28,200
1,Clear,38.9,-77.08,420005230,16093,3131,US,24-03-2018 16:35,25-03-2018 04:54,275.34,51,1023,273.15,277.15,5.7,24-03-2018 11:28,200
1,Clear,38.9,-77.04,420007958,16093,1325,US,24-03-2018 16:34,25-03-2018 04:54,275.34,51,1023,273.15,277.15,2.1,24-03-2018 11:28,200
1,Clear,39.1,-77.17,420016965,16093,1332,US,24-03-2018 16:35,25-03-2018 04:54,275.22,73,1023,273.15,278.15,4.76,24-03-2018 11:28,200
1,Clear,38.89,-77.1,420036411,16093,3131,US,24-03-2018 16:35,25-03-2018 04:54,275.34,51,1023,273.15,277.15,5.7,24-03-2018 11:28,200
1,Clear,38.81,-77.05,420038110,16093,3131,US,24-03-2018 16:34,25-03-2018 04:54,275.59,51,1023,274.15,277.15,5.7,24-03-2018 11:28,200
1,Clear,37.28,-76.73,420038434,16093,2889,US,24-03-2018 16:34,25-03-2018 04:52,277.52,51,1023,276.15,279.15,2.6,24-03-2018 11:21,200
90,Clouds,35.47,-81.12,420021571,16093,1797,US,24-03-2018 16:52,25-03-2018 05:09,278.2,62,1023,273.15,284.15,1.71,24-03-2018 11:25,200
90,Clouds,35.48,-81.21,420021576,16093,1797,US,24-03-2018 16:52,25-03-2018 05:10,278.37,62,1023,273.15,284.15,1.71,24-03-2018 11:25,200
